,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
TN_AA (Fold  1),207,110,136,161,144,159,153,186,195,191
FP_AA (Fold  1),80,99,80,59,119,83,79,74,63,92
FN_AA (Fold  1),69,42,70,78,59,58,72,76,71,80
TP_AA (Fold  1),120,119,81,88,113,105,114,107,115,101
TN_C (Fold  1),213,123,169,160,154,208,197,177,170,171
FP_C (Fold  1),35,72,35,36,55,34,36,41,52,42
FN_C (Fold  1),47,38,52,42,49,49,59,56,62,59
TP_C (Fold  1),29,29,40,25,38,32,38,36,35,29
TN_AA (Fold  2),202,97,155,152,170,174,178,178,193,191
FP_AA (Fold  2),67,100,75,77,88,80,58,100,99,75
FN_AA (Fold  2),93,42,54,69,71,75,74,68,67,73
TP_AA (Fold  2),93,114,88,98,100,96,106,108,115,95
TN_C (Fold  2),208,131,139,160,157,170,177,181,183,197
FP_C (Fold  2),30,67,35,30,42,36,33,48,41,38
FN_C (Fold  2),62,41,46,34,50,55,52,48,44,51
TP_C (Fold  2),33,30,31,30,44,32,35,46,33,39
TN_AA (Fold  3),208,100,170,142,146,199,193,191,193,174
FP_AA (Fold  3),73,107,66,62,97,66,92,74,99,89
FN_AA (Fold  3),73,46,73,60,54,95,61,77,77,82
TP_AA (Fold  3),110,103,89,84,115,103,105,111,111,116
TN_C (Fold  3),215,130,130,149,178,155,177,198,172,183
FP_C (Fold  3),28,76,33,29,59,38,27,25,40,29
FN_C (Fold  3),60,28,49,60,40,58,56,68,58,60
TP_C (Fold  3),38,30,27,38,36,33,29,20,35,25
TN_AA (Fold  4),190,139,144,141,159,172,188,179,178,193
FP_AA (Fold  4),75,76,61,68,92,84,76,85,80,82
FN_AA (Fold  4),81,52,63,56,76,54,72,74,61,72
TP_AA (Fold  4),129,111,96,92,106,100,91,110,116,100
TN_C (Fold  4),194,138,171,169,180,158,171,200,193,188
FP_C (Fold  4),38,57,31,44,45,50,47,38,43,40
FN_C (Fold  4),51,35,40,50,44,56,53,48,51,61
TP_C (Fold  4),35,45,31,21,36,36,24,31,34,36
TN_AA (Fold  5),191,132,186,151,159,173,202,181,182,164
FP_AA (Fold  5),73,98,57,63,88,61,75,89,80,86
FN_AA (Fold  5),75,52,74,70,72,68,69,71,75,58
TP_AA (Fold  5),113,109,86,99,102,103,84,116,108,112
TN_C (Fold  5),193,122,154,159,170,188,177,173,203,206
FP_C (Fold  5),41,60,26,39,42,31,34,48,31,50
FN_C (Fold  5),63,31,46,41,55,65,51,48,68,49
TP_C (Fold  5),30,44,28,29,45,27,33,30,40,32
TN_AA (Fold  6),206,130,159,147,150,177,176,172,184,201
FP_AA (Fold  6),85,102,83,68,96,76,76,88,97,85
FN_AA (Fold  6),90,52,61,58,53,82,67,69,83,71
TP_AA (Fold  6),111,99,82,94,103,103,117,113,118,104
TN_C (Fold  6),186,128,140,159,162,181,152,168,168,184
FP_C (Fold  6),32,61,45,47,63,39,43,44,25,26
FN_C (Fold  6),57,36,33,44,53,52,54,60,37,60
TP_C (Fold  6),34,36,28,30,39,26,35,39,42,38
TN_AA (Fold  7),183,120,138,164,173,163,179,159,187,180
FP_AA (Fold  7),75,98,79,79,101,85,76,85,72,85
FN_AA (Fold  7),68,61,49,59,72,64,81,71,80,84
TP_AA (Fold  7),115,100,93,70,102,112,90,99,100,118
TN_C (Fold  7),205,109,171,135,158,178,194,192,192,181
FP_C (Fold  7),30,79,26,37,35,34,41,46,38,38
FN_C (Fold  7),66,45,56,49,62,52,56,72,57,51
TP_C (Fold  7),39,47,33,35,31,37,22,39,31,40
TN_AA (Fold  8),213,130,155,154,175,181,162,208,174,190
FP_AA (Fold  8),85,117,66,76,95,85,90,85,72,84
FN_AA (Fold  8),67,42,78,69,69,79,68,71,83,77
TP_AA (Fold  8),101,103,83,96,112,85,100,110,98,115
TN_C (Fold  8),198,119,155,152,182,177,176,161,199,180
FP_C (Fold  8),35,73,27,38,30,36,36,40,41,42
FN_C (Fold  8),54,26,51,44,41,57,55,58,60,51
TP_C (Fold  8),37,48,23,29,25,38,37,38,30,26
TN_AA (Fold  9),209,118,162,181,158,186,172,175,171,196
FP_AA (Fold  9),76,132,68,54,106,79,74,90,90,72
FN_AA (Fold  9),76,41,70,48,58,76,81,65,71,74
TP_AA (Fold  9),114,88,86,86,123,100,110,118,98,101
TN_C (Fold  9),186,119,169,150,155,190,172,194,197,181
FP_C (Fold  9),25,63,26,34,63,30,44,40,40,40
FN_C (Fold  9),67,36,44,42,48,60,50,40,66,73
TP_C (Fold  9),29,46,40,35,28,24,36,43,35,36
TN_AA (Fold 10),198,114,143,165,155,171,174,183,192,182
FP_AA (Fold 10),83,120,56,75,81,98,79,105,86,75
FN_AA (Fold 10),83,54,62,64,67,65,67,79,71,67
TP_AA (Fold 10),110,98,90,90,101,105,99,106,101,119
TN_C (Fold 10),196,113,177,129,153,171,176,182,174,177
FP_C (Fold 10),33,55,36,39,60,39,33,44,38,47
FN_C (Fold 10),56,40,35,46,60,51,62,41,59,45
TP_C (Fold 10),43,44,22,31,46,30,33,42,26,42
