,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
(Fold  1),0.679340937896071,0.5775,0.6441717791411042,0.6431322207958922,0.6259351620947631,0.6896120150187734,0.6704834605597965,0.691046658259773,0.70062893081761,0.6527093596059114
(Fold  2),0.6748466257668712,0.6146095717884131,0.6873417721518987,0.6493827160493827,0.6376262626262627,0.6993710691823899,0.6670886075949367,0.6675159235668789,0.6908396946564885,0.6787048567870486
(Fold  3),0.7079081632653061,0.6052631578947368,0.665389527458493,0.6539440203562341,0.6377749029754204,0.6526717557251909,0.6578282828282829,0.6645244215938303,0.6608040201005025,0.6743589743589744
(Fold  4),0.6728395061728395,0.592020592020592,0.6392405063291139,0.6599749058971142,0.6012738853503184,0.6420382165605095,0.6679438058748404,0.6522292993630573,0.67625,0.6785260482846251
(Fold  5),0.7046894803548795,0.5714285714285714,0.6807692307692308,0.6364779874213836,0.6259640102827764,0.7033792240300375,0.6599496221662469,0.6878109452736318,0.6716981132075471,0.685857321652065
(Fold  6),0.6861042183622829,0.5761843790012804,0.6559278350515464,0.6397435897435897,0.6516290726817042,0.6864728192161821,0.6430348258706468,0.6683046683046683,0.6796973518284993,0.6804123711340206
(Fold  7),0.7300771208226221,0.570528967254408,0.6440460947503202,0.6262626262626263,0.6340533672172808,0.6451612903225806,0.6654275092936803,0.6679292929292929,0.7022613065326633,0.6734955185659411
(Fold  8),0.6852331606217616,0.5857843137254902,0.6511335012594458,0.6390977443609023,0.65389369592089,0.6653992395437263,0.6722365038560412,0.6645569620253164,0.6830808080808081,0.6620253164556962
(Fold  9),0.6662484316185696,0.5677018633540373,0.6624365482233503,0.6472819216182049,0.6279357231149567,0.6822660098522167,0.6670902160101652,0.6561314791403287,0.6759493670886076,0.7014925373134329
(Fold 10),0.7170294494238156,0.5672823218997362,0.6432038834951457,0.6469104665825978,0.6624365482233503,0.6620253164556962,0.67125,0.6806083650190115,0.6709511568123393,0.6932826362484157
Average,0.6924317094305019,0.5828303738367265,0.6573660678629649,0.6442208199087927,0.6358522630487723,0.6728396955907303,0.6642332834054636,0.6700658015475789,0.6812160749125067,0.678086494040613
