,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
(Fold  1),0.6665173049497373,0.7376803685067339,0.013497031225955136,0.08941688138442705,0.06474333555116218,0.6295810428119274,0.6859074939576473,0.557513914656772,0.1000383718004958,0.6584608765136146
(Fold  2),1.0339266707668326,0.40791607361615634,0.3882666259186447,0.05087429975721769,0.79786220043573,0.4611006236471995,0.09370187618705395,1.3291532501180017,0.42444222444222435,0.6754387314460525
(Fold  3),0.41555582405546065,0.24867118807865862,0.6358199116117668,0.702687928987381,0.31156552748437505,0.017337987840277402,0.6060323255924198,0.10025602977932535,0.6126717032967033,0.5204356015501527
(Fold  4),0.29637195877839695,0.616794898454287,0.19753174814099417,0.544569415826443,0.16074953221237576,0.26153438230719683,0.6842478254507882,0.07559071458354572,0.1822150236473813,0.09413289125173885
(Fold  5),0.46294961770225185,0.45150044901030595,0.4490937467902224,0.376974301641097,0.4200677976993765,0.7623791521011627,0.025416618916870082,0.2522847636088055,0.44434161819143336,0.7097737250288462
(Fold  6),0.3960359569027193,0.250899036127869,0.7674131863178516,0.3521482531661265,0.6562142052767055,0.9450318155877523,0.29069377381421624,0.07749905854566341,0.49997354369148095,0.29019351226055157
(Fold  7),0.27513146050892434,0.4063615460868635,0.07638214083729267,0.2721359354099906,0.48798526446487456,0.6754822496860805,0.4954372227490942,0.8601605022657651,0.22386318484382994,0.3800547411003873
(Fold  8),1.1782710091835555,0.20641125617711287,0.15550755153840645,0.09705277628354536,0.31093719001106734,0.5152880299608336,0.4720589629348755,0.4956160484242975,0.9416909280110377,0.12573362930084708
(Fold  9),0.5552824498687294,0.9356872694299876,0.2063815533323421,0.061534819522686135,0.16404858204771267,0.448232841263826,0.3931952698901854,0.8447293447293447,0.43189146617432617,0.048826309616052166
(Fold 10),0.32296682718031045,0.6187379752701163,0.49335287888791257,0.23502824858757054,0.73888753003042,0.05313126299424975,0.11381074952503512,0.7087375029063011,0.4406202598847203,0.1790225232346615
Average,0.5603009079896919,0.4880660060758092,0.33832463746013886,0.2782422860566485,0.41130611652137994,0.4769099388200506,0.3860502119018186,0.5301541129617822,0.4301748323983633,0.36820725413029043
