,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
(Fold  1),0.660377358490566,0.6702619414483821,0.6174183514774495,0.6224961479198767,0.6332882273342354,0.636237897648686,0.6609271523178808,0.6493506493506493,0.6575716234652115,0.6582781456953642
(Fold  2),0.6379525593008739,0.631578947368421,0.620845921450151,0.6253822629969419,0.6507042253521127,0.6689944134078212,0.6390041493775933,0.6227621483375959,0.6369593709043251,0.6451187335092349
(Fold  3),0.6607818411097099,0.6635802469135802,0.6439873417721519,0.6594761171032357,0.6754874651810585,0.6634746922024624,0.6167341430499326,0.665359477124183,0.6284224250325945,0.6557161629434954
(Fold  4),0.6742712294043093,0.618066561014263,0.6561085972850679,0.662613981762918,0.6483516483516484,0.6406685236768802,0.6611111111111111,0.6828947368421052,0.6644736842105263,0.6386333771353482
(Fold  5),0.6610389610389611,0.6045801526717557,0.6234177215189873,0.6275430359937402,0.6420612813370473,0.646814404432133,0.6361111111111111,0.6416337285902504,0.677124183006536,0.6735483870967742
(Fold  6),0.6573248407643312,0.6526315789473685,0.6357927786499215,0.6170886075949367,0.6593406593406593,0.6519944979367263,0.6563814866760168,0.6774193548387096,0.6562091503267974,0.6202046035805626
(Fold  7),0.6675126903553299,0.6470588235294118,0.6702954898911353,0.6071987480438185,0.6538461538461539,0.6391184573002755,0.6383866481223922,0.6459459459459459,0.630173564753004,0.6485753052917232
(Fold  8),0.6579275905118602,0.6507692307692308,0.6487341772151899,0.659375,0.6329639889196675,0.6653171390013495,0.6575716234652115,0.644,0.6815203145478375,0.672
(Fold  9),0.6420664206642066,0.628482972136223,0.6157407407407407,0.627906976744186,0.6418539325842697,0.6707152496626181,0.6388888888888888,0.6614173228346457,0.6616161616161617,0.6684005201560468
(Fold 10),0.6603053435114504,0.6740506329113924,0.6468797564687976,0.6319875776397516,0.6590296495956873,0.6556473829201102,0.6066024759284732,0.6526867627785059,0.6345903771131339,0.6838046272493573
Average,0.6579558835151598,0.6441061087710029,0.6379220876469592,0.6341068455799406,0.649692723184254,0.6538982658189062,0.6411718790048611,0.6543470126642591,0.6528660854976127,0.6564279862657908
