,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
TN_AA (Fold  1),162,141,145,136,156,136,143,168,166,164
FP_AA (Fold  1),97,92,88,89,101,98,123,118,108,108
FN_AA (Fold  1),50,63,42,55,52,52,46,49,54,77
TP_AA (Fold  1),130,97,96,98,105,132,113,127,136,121
TN_C (Fold  1),198,163,152,158,165,181,174,194,172,189
FP_C (Fold  1),52,36,45,44,40,53,47,50,43,37
FN_C (Fold  1),53,44,46,45,48,46,41,33,56,43
TP_C (Fold  1),46,35,41,30,36,35,40,39,36,38
TN_AA (Fold  2),164,136,144,152,164,141,140,163,165,163
FP_AA (Fold  2),104,77,93,96,74,115,113,106,108,98
FN_AA (Fold  2),45,57,63,70,63,54,53,55,78,56
TP_AA (Fold  2),120,96,104,106,129,127,123,111,118,117
TN_C (Fold  2),196,159,151,127,170,164,146,167,165,185
FP_C (Fold  2),51,42,29,43,37,50,53,50,47,41
FN_C (Fold  2),59,55,34,34,52,54,47,55,39,48
TP_C (Fold  2),41,33,33,34,33,29,46,43,43,42
TN_AA (Fold  3),169,141,141,145,179,151,120,171,167,155
FP_AA (Fold  3),133,96,93,96,81,106,114,107,113,111
FN_AA (Fold  3),60,61,57,38,62,54,55,50,61,56
TP_AA (Fold  3),136,102,96,93,117,97,135,134,121,131
TN_C (Fold  3),188,145,142,155,163,188,166,160,202,173
FP_C (Fold  3),48,42,39,28,39,48,45,46,42,43
FN_C (Fold  3),43,40,42,44,56,36,52,50,36,49
TP_C (Fold  3),36,35,32,39,41,55,37,45,40,40
TN_AA (Fold  4),182,145,136,146,143,159,161,137,170,167
FP_AA (Fold  4),113,84,108,93,96,108,100,108,109,88
FN_AA (Fold  4),57,42,52,55,65,53,42,50,43,67
TP_AA (Fold  4),130,98,99,86,119,111,122,121,111,129
TN_C (Fold  4),158,163,133,142,190,156,164,193,184,183
FP_C (Fold  4),58,32,44,38,54,42,48,49,45,51
FN_C (Fold  4),55,37,36,38,40,41,53,43,47,48
TP_C (Fold  4),40,28,27,23,39,33,31,50,46,32
TN_AA (Fold  5),173,150,145,129,140,145,161,149,163,156
FP_AA (Fold  5),123,87,90,88,125,106,102,97,116,93
FN_AA (Fold  5),52,63,47,54,44,56,54,56,73,56
TP_AA (Fold  5),123,91,102,113,124,122,111,140,110,132
TN_C (Fold  5),193,146,164,123,167,148,178,168,168,182
FP_C (Fold  5),36,47,40,31,45,48,50,40,48,49
FN_C (Fold  5),47,39,43,36,42,44,32,54,63,49
TP_C (Fold  5),43,39,29,39,41,40,47,44,27,41
TN_AA (Fold  6),160,138,144,141,161,174,156,181,155,166
FP_AA (Fold  6),108,90,77,88,98,108,100,95,116,107
FN_AA (Fold  6),63,60,57,47,50,60,47,55,48,55
TP_AA (Fold  6),133,90,88,99,100,115,130,118,134,124
TN_C (Fold  6),182,152,168,148,184,162,165,187,175,182
FP_C (Fold  6),51,41,34,55,45,35,54,43,49,49
FN_C (Fold  6),55,36,36,49,58,50,38,47,39,47
TP_C (Fold  6),41,31,37,37,33,37,35,41,46,39
TN_AA (Fold  7),153,152,141,137,156,138,140,180,147,171
FP_AA (Fold  7),125,75,77,83,108,105,87,86,103,107
FN_AA (Fold  7),59,47,60,51,49,57,54,72,65,47
TP_AA (Fold  7),140,106,121,90,114,126,113,126,121,127
TN_C (Fold  7),166,140,145,153,162,183,173,193,167,163
FP_C (Fold  7),44,41,27,42,51,46,59,30,46,52
FN_C (Fold  7),58,40,48,51,52,49,48,61,60,53
TP_C (Fold  7),50,36,39,37,37,34,41,31,42,44
TN_AA (Fold  8),158,151,138,132,165,143,172,156,166,153
FP_AA (Fold  8),97,88,94,93,95,120,102,109,107,124
FN_AA (Fold  8),49,52,62,68,71,44,60,56,41,61
TP_AA (Fold  8),157,99,119,101,136,106,108,116,131,117
TN_C (Fold  8),199,129,143,140,158,154,171,193,185,169
FP_C (Fold  8),45,41,41,56,44,58,32,45,39,46
FN_C (Fold  8),44,47,36,32,37,48,56,57,49,43
TP_C (Fold  8),34,25,28,31,39,54,35,25,39,44
TN_AA (Fold  9),176,123,130,146,153,161,149,178,153,158
FP_AA (Fold  9),115,94,92,79,101,80,115,92,96,116
FN_AA (Fold  9),62,59,44,54,47,67,46,58,52,46
TP_AA (Fold  9),129,100,93,107,116,125,131,122,147,128
TN_C (Fold  9),181,155,144,168,166,171,159,180,182,182
FP_C (Fold  9),47,30,36,37,33,39,48,50,51,47
FN_C (Fold  9),48,41,45,31,40,57,40,43,51,51
TP_C (Fold  9),46,28,38,37,40,30,49,33,40,38
TN_AA (Fold 10),144,163,129,134,152,167,158,153,153,157
FP_AA (Fold 10),123,86,104,106,109,96,101,122,95,114
FN_AA (Fold 10),61,59,36,52,55,55,64,63,51,59
TP_AA (Fold 10),135,99,103,104,114,119,125,141,125,114
TN_C (Fold 10),177,148,157,150,180,168,162,163,188,180
FP_C (Fold 10),51,28,46,42,42,41,41,47,50,45
FN_C (Fold 10),49,44,41,50,51,42,43,47,42,60
TP_C (Fold 10),42,32,34,28,35,36,39,41,41,33
