,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
(Fold  1),0.6811779769526248,0.6318181818181818,0.6553945249597424,0.5953846153846154,0.6508795669824087,0.656984785615491,0.6473906911142454,0.6710700132100397,0.6491935483870968,0.6619537275064268
(Fold  2),0.6463104325699746,0.6572769953051644,0.645412130637636,0.646875,0.663923182441701,0.6918687589158345,0.6505376344086021,0.6517739816031537,0.699475065616798,0.6696315120711563
(Fold  3),0.6703980099502488,0.6246105919003115,0.665144596651446,0.6355140186915887,0.6385041551246537,0.6527777777777778,0.6765498652291105,0.6645244215938303,0.6238651102464332,0.6455862977602108
(Fold  4),0.6732673267326733,0.7113564668769716,0.6600609756097561,0.6577708006279435,0.6961325966850829,0.6511318242343542,0.6581081081081082,0.6653439153439153,0.6411917098445595,0.6478318002628121
(Fold  5),0.6726342710997443,0.6547987616099071,0.639269406392694,0.6574500768049155,0.6518218623481782,0.6374829001367989,0.6470588235294118,0.6832460732984293,0.6351351351351351,0.6465177398160316
(Fold  6),0.6529126213592233,0.6810207336523126,0.6533546325878594,0.6329704510108864,0.6910569105691057,0.6474622770919067,0.6469760900140648,0.6627906976744186,0.6645077720207254,0.6522875816993464
(Fold  7),0.6637824474660075,0.6773211567732116,0.6489859594383776,0.6631259484066768,0.6363636363636364,0.6576454668470907,0.6580732700135685,0.6452442159383034,0.6529562982005142,0.6572199730094467
(Fold  8),0.64453125,0.6696969696969697,0.6273291925465838,0.6458015267175573,0.6671388101983002,0.6965986394557823,0.6613832853025937,0.62982689747004,0.6830238726790451,0.6818791946308724
(Fold  9),0.6714100905562742,0.6453055141579732,0.6788432267884322,0.6845425867507886,0.669432918395574,0.6451612903225806,0.6606896551724138,0.6688654353562006,0.6619354838709678,0.6735751295336787
(Fold 10),0.6437659033078881,0.6602564102564102,0.6246200607902735,0.6671802773497689,0.685595567867036,0.6593406593406593,0.6865671641791045,0.668856767411301,0.6623376623376623,0.6566970091027308
Average,0.662019032999466,0.6613461782047414,0.6498414706402801,0.6486615301744741,0.6650849206975677,0.6596454379738277,0.6593334587071223,0.6611542418899631,0.6573621658338937,0.6593179965392711
