,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
TN_AA (Fold  1),128,97,123,79,169,125,135,116,120,156
FP_AA (Fold  1),133,144,119,143,97,125,98,125,141,117
FN_AA (Fold  1),40,36,47,46,61,45,63,39,42,48
TP_AA (Fold  1),150,119,105,111,129,135,120,148,149,125
TN_C (Fold  1),183,112,127,93,145,147,168,166,147,180
FP_C (Fold  1),70,79,48,88,52,56,47,60,62,58
FN_C (Fold  1),31,35,20,37,54,43,44,30,24,46
TP_C (Fold  1),46,38,32,53,32,47,34,73,59,48
TN_AA (Fold  2),160,114,102,110,169,151,119,145,159,177
FP_AA (Fold  2),107,95,118,106,95,82,144,125,98,91
FN_AA (Fold  2),62,40,38,30,53,45,31,54,61,62
TP_AA (Fold  2),117,137,133,132,129,123,136,134,126,131
TN_C (Fold  2),189,128,112,138,168,168,139,156,179,167
FP_C (Fold  2),51,59,70,54,43,52,79,59,53,59
FN_C (Fold  2),54,31,29,30,34,33,41,37,42,48
TP_C (Fold  2),46,35,41,40,38,47,55,51,44,52
TN_AA (Fold  3),174,68,92,174,86,151,151,125,139,165
FP_AA (Fold  3),110,148,136,76,161,111,122,140,114,107
FN_AA (Fold  3),54,20,26,59,25,37,48,34,48,49
TP_AA (Fold  3),124,123,126,84,137,139,140,153,136,131
TN_C (Fold  3),186,122,111,138,124,125,140,141,165,150
FP_C (Fold  3),39,82,76,39,98,70,52,92,72,52
FN_C (Fold  3),58,31,27,39,27,37,43,30,56,49
TP_C (Fold  3),59,48,63,33,64,50,46,63,41,56
TN_AA (Fold  4),158,152,120,132,189,167,143,125,131,186
FP_AA (Fold  4),123,93,110,79,76,82,126,137,140,100
FN_AA (Fold  4),53,37,40,54,61,57,35,35,49,80
TP_AA (Fold  4),160,109,107,102,85,131,143,159,140,124
TN_C (Fold  4),147,121,150,144,199,188,125,150,168,155
FP_C (Fold  4),77,40,58,55,25,40,69,65,67,33
FN_C (Fold  4),39,38,33,44,55,43,42,36,33,41
TP_C (Fold  4),51,44,38,27,34,43,57,49,44,42
TN_AA (Fold  5),142,167,133,124,170,106,176,161,147,160
FP_AA (Fold  5),145,52,96,115,98,154,93,107,105,104
FN_AA (Fold  5),40,87,54,45,62,37,64,61,55,61
TP_AA (Fold  5),147,80,97,115,123,130,117,132,117,110
TN_C (Fold  5),167,172,158,130,155,133,151,175,169,185
FP_C (Fold  5),57,28,41,55,38,85,52,43,57,59
FN_C (Fold  5),34,44,44,31,57,28,43,47,43,50
TP_C (Fold  5),50,16,34,36,38,58,35,38,47,32
TN_AA (Fold  6),121,140,140,141,134,136,85,154,120,121
FP_AA (Fold  6),171,96,97,87,124,106,167,135,147,135
FN_AA (Fold  6),36,44,31,54,43,58,36,53,31,47
TP_AA (Fold  6),159,100,115,98,129,120,135,132,175,136
TN_C (Fold  6),159,131,123,124,163,166,130,159,145,154
FP_C (Fold  6),80,49,45,58,66,52,90,64,57,80
FN_C (Fold  6),40,36,44,45,36,43,24,39,33,34
TP_C (Fold  6),58,31,31,36,43,48,44,38,64,58
TN_AA (Fold  7),152,108,199,160,153,181,183,168,160,171
FP_AA (Fold  7),118,107,34,78,102,105,68,114,145,91
FN_AA (Fold  7),54,42,104,69,65,56,75,53,43,52
TP_AA (Fold  7),144,128,51,101,109,109,99,114,128,129
TN_C (Fold  7),182,141,165,153,166,164,196,169,144,165
FP_C (Fold  7),74,61,14,35,44,48,32,62,69,43
FN_C (Fold  7),40,33,54,34,43,45,50,55,33,46
TP_C (Fold  7),45,37,20,29,44,31,34,43,56,44
TN_AA (Fold  8),144,154,92,157,117,161,130,164,168,117
FP_AA (Fold  8),131,84,109,58,103,97,112,111,99,130
FN_AA (Fold  8),39,46,36,75,49,59,28,46,67,31
TP_AA (Fold  8),153,111,134,83,128,106,126,122,111,137
TN_C (Fold  8),137,152,119,168,155,198,149,157,184,159
FP_C (Fold  8),72,33,81,42,66,35,67,59,54,87
FN_C (Fold  8),38,48,36,48,32,38,33,38,30,34
TP_C (Fold  8),54,32,37,24,56,41,49,54,41,50
TN_AA (Fold  9),98,142,87,152,158,96,130,141,139,158
FP_AA (Fold  9),175,87,120,69,93,151,107,142,140,124
FN_AA (Fold  9),25,69,39,53,48,27,42,46,33,42
TP_AA (Fold  9),151,101,124,108,131,141,125,128,139,142
TN_C (Fold  9),145,153,130,145,160,115,162,170,136,168
FP_C (Fold  9),90,39,80,31,52,92,71,51,72,61
FN_C (Fold  9),19,43,24,38,42,33,31,39,48,33
TP_C (Fold  9),70,37,53,38,39,58,57,41,68,44
TN_AA (Fold 10),185,117,107,158,132,164,135,143,127,176
FP_AA (Fold 10),104,99,130,66,121,96,123,110,149,102
FN_AA (Fold 10),67,45,34,52,45,77,43,50,33,55
TP_AA (Fold 10),116,88,121,91,121,101,127,128,138,129
TN_C (Fold 10),165,150,116,166,174,173,155,173,148,171
FP_C (Fold 10),51,42,70,38,53,39,72,60,83,45
FN_C (Fold 10),46,42,26,49,26,43,24,44,31,45
TP_C (Fold 10),52,41,54,29,50,35,58,53,61,46
