,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
(Fold  1),0.7157360406091371,0.6408345752608048,0.6381679389312978,0.6580152671755726,0.5817923186344239,0.6521145975443383,0.562585969738652,0.699228791773779,0.6601815823605707,0.61003861003861
(Fold  2),0.6679487179487179,0.6427480916030535,0.6482334869431644,0.5981873111782477,0.6412742382271468,0.6580381471389646,0.5714285714285714,0.5813333333333334,0.6369593709043251,0.6266666666666667
(Fold  3),0.6346863468634686,0.6102719033232629,0.6495327102803738,0.6614420062695925,0.6449864498644986,0.6149659863945578,0.6160220994475138,0.6474442988204456,0.6585677749360613,0.6728232189973615
(Fold  4),0.6544766708701135,0.6104928457869634,0.6078740157480315,0.6344605475040258,0.6554959785522788,0.6372688477951636,0.6102635228848821,0.6671105193075899,0.6132450331125828,0.6496732026143791
(Fold  5),0.6430379746835443,0.5347432024169184,0.6272727272727273,0.6525285481239804,0.6607142857142857,0.6205923836389281,0.6816326530612244,0.6109625668449198,0.6328125,0.6292875989445911
(Fold  6),0.626733921815889,0.6379310344827587,0.6817472698907956,0.6295180722891566,0.6433470507544582,0.6855600539811066,0.6124137931034482,0.6414602346805737,0.6194225721784777,0.6514954486345904
(Fold  7),0.6427672955974842,0.6938775510204082,0.6124620060790273,0.6288819875776398,0.6337448559670782,0.6531165311653117,0.6559440559440559,0.6225930680359435,0.59254327563249,0.6164921465968587
(Fold  8),0.6794380587484036,0.6060126582278481,0.6384266263237519,0.5987748851454824,0.6241610738255033,0.6368638239339752,0.6209239130434783,0.6023778071334214,0.6446499339498019,0.6459709379128138
(Fold  9),0.6417910447761194,0.6015873015873016,0.6463022508038585,0.6600910470409712,0.6824712643678161,0.647945205479452,0.6268656716417911,0.6944444444444444,0.5893782383419689,0.6788511749347258
(Fold 10),0.639386189258312,0.629742033383915,0.62,0.5915915915915916,0.5962059620596206,0.6160220994475138,0.684856753069577,0.6537966537966537,0.6496644295302013,0.6469816272965879
Average,0.6546002261171189,0.6208241197093235,0.6370019032273029,0.6313491263896261,0.6364193477967109,0.6422487676519312,0.6242937003363195,0.6420751718171104,0.629742471094648,0.6428280632637187
