,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
(Fold  1),0.6427656850192062,0.5787878787878787,0.5636070853462157,0.5076923076923077,0.5899864682002707,0.5905947441217151,0.5980253878702397,0.631439894319683,0.5833333333333334,0.5552699228791774
(Fold  2),0.5699745547073791,0.6306729264475743,0.6111975116640747,0.5796875,0.5857338820301783,0.6048502139800286,0.5793010752688172,0.5742444152431012,0.6141732283464567,0.5984752223634053
(Fold  3),0.6305970149253731,0.5685358255451713,0.6057838660578386,0.5545171339563862,0.5734072022160664,0.6152777777777778,0.5822102425876011,0.6079691516709511,0.5875486381322957,0.5862977602108037
(Fold  4),0.6113861386138614,0.61198738170347,0.6158536585365854,0.5855572998430141,0.6049723756906077,0.5832223701731025,0.6135135135135135,0.5952380952380952,0.5751295336787565,0.580814717477004
(Fold  5),0.6202046035805626,0.6362229102167183,0.6118721461187214,0.5775729646697388,0.6288798920377868,0.5704514363885089,0.5800273597811217,0.6178010471204188,0.5878378378378378,0.5729303547963206
(Fold  6),0.5995145631067961,0.5821371610845295,0.6134185303514377,0.5692068429237948,0.6002710027100271,0.6200274348422496,0.5864978902953587,0.5775193798449613,0.6010362694300518,0.5647058823529412
(Fold  7),0.5896168108776267,0.6331811263318112,0.6068642745709828,0.6191198786039454,0.5840220385674931,0.6143437077131259,0.5915875169606513,0.5694087403598972,0.5912596401028277,0.6045883940620783
(Fold  8),0.6080729166666666,0.6060606060606061,0.5791925465838509,0.5862595419847328,0.5920679886685553,0.6204081632653061,0.5893371757925072,0.59254327563249,0.6339522546419099,0.6
(Fold  9),0.6067270375161707,0.5663189269746647,0.624048706240487,0.6198738170347003,0.627939142461964,0.5988779803646563,0.593103448275862,0.5910290237467019,0.5819354838709677,0.6049222797927462
(Fold 10),0.5687022900763359,0.5705128205128205,0.60790273556231,0.613251155624037,0.6260387811634349,0.603021978021978,0.6105834464043419,0.6504599211563732,0.5961038961038961,0.5916775032509753
Average,0.6047561615089979,0.5984417563665245,0.6039741061032504,0.5812738442332657,0.6013318773746383,0.6021075806648449,0.5924187056750014,0.6007652944332673,0.5952310115478334,0.5859682037185452
