,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
TN_AA (Fold  1),193,140,169,181,193,174,181,215,201,168
FP_AA (Fold  1),81,134,124,85,96,101,90,62,80,100
FN_AA (Fold  1),108,63,85,85,102,75,76,82,86,87
TP_AA (Fold  1),93,149,112,109,105,103,123,100,107,98
TN_C (Fold  1),198,146,180,165,170,199,181,205,199,219
FP_C (Fold  1),31,80,56,61,42,42,41,33,39,38
FN_C (Fold  1),56,43,48,58,54,61,60,62,45,68
TP_C (Fold  1),29,45,41,35,40,44,34,34,38,34
TN_AA (Fold  2),185,136,192,161,166,207,188,210,176,190
FP_AA (Fold  2),93,126,89,123,107,87,112,62,101,83
FN_AA (Fold  2),78,47,61,84,64,70,71,113,72,94
TP_AA (Fold  2),126,135,105,120,129,115,117,99,111,107
TN_C (Fold  2),193,166,207,177,164,192,174,186,201,209
FP_C (Fold  2),34,79,58,59,67,33,44,33,34,27
FN_C (Fold  2),66,54,43,45,56,55,46,58,57,62
TP_C (Fold  2),40,51,35,41,39,36,38,24,34,31
TN_AA (Fold  3),196,144,170,179,194,164,198,171,181,203
FP_AA (Fold  3),60,107,104,95,89,100,89,86,94,80
FN_AA (Fold  3),73,73,77,88,85,86,69,72,82,94
TP_AA (Fold  3),106,128,120,105,94,106,108,115,95,91
TN_C (Fold  3),215,184,174,179,168,189,187,202,206,197
FP_C (Fold  3),39,67,42,56,50,49,50,45,36,32
FN_C (Fold  3),57,57,60,52,56,58,60,57,69,49
TP_C (Fold  3),38,38,36,32,37,34,31,30,33,34
TN_AA (Fold  4),200,157,188,151,186,192,175,175,193,199
FP_AA (Fold  4),83,142,103,100,100,116,87,93,72,87
FN_AA (Fold  4),101,57,72,62,74,61,79,80,100,90
TP_AA (Fold  4),104,114,121,114,111,117,110,100,108,113
TN_C (Fold  4),203,132,161,193,175,149,179,193,194,186
FP_C (Fold  4),28,87,41,66,63,55,45,47,39,34
FN_C (Fold  4),68,39,52,55,41,57,70,65,65,46
TP_C (Fold  4),23,49,52,56,35,38,38,32,29,32
TN_AA (Fold  5),208,154,162,181,176,188,198,197,210,191
FP_AA (Fold  5),70,128,108,127,96,104,74,86,84,98
FN_AA (Fold  5),99,48,67,80,77,69,83,80,84,67
TP_AA (Fold  5),99,146,120,120,94,124,117,113,94,112
TN_C (Fold  5),201,136,197,152,189,191,182,204,211,188
FP_C (Fold  5),23,84,52,48,53,36,40,26,21,48
FN_C (Fold  5),50,51,40,44,53,47,67,60,65,68
TP_C (Fold  5),39,51,34,43,40,40,33,38,26,27
TN_AA (Fold  6),241,164,164,177,204,185,179,205,183,180
FP_AA (Fold  6),81,116,96,90,105,83,91,84,80,88
FN_AA (Fold  6),84,65,80,87,71,76,73,80,82,86
TP_AA (Fold  6),98,135,105,112,104,114,110,96,124,98
TN_C (Fold  6),189,147,180,167,176,205,202,203,189,196
FP_C (Fold  6),29,72,55,57,54,33,50,50,36,46
FN_C (Fold  6),59,44,60,52,43,59,63,61,64,51
TP_C (Fold  6),25,38,36,38,41,36,36,35,35,31
TN_AA (Fold  7),204,160,190,161,168,179,191,206,201,197
FP_AA (Fold  7),77,107,84,106,99,85,92,86,93,95
FN_AA (Fold  7),68,78,90,81,61,91,94,76,77,85
TP_AA (Fold  7),108,127,103,103,108,102,106,115,117,100
TN_C (Fold  7),202,175,172,188,187,161,186,190,182,179
FP_C (Fold  7),34,54,45,56,55,55,53,29,39,34
FN_C (Fold  7),54,52,57,54,64,70,48,59,44,54
TP_C (Fold  7),31,41,40,43,45,32,37,31,43,37
TN_AA (Fold  8),161,157,176,176,178,202,173,209,188,201
FP_AA (Fold  8),99,125,90,111,91,79,109,83,88,74
FN_AA (Fold  8),70,76,88,78,87,92,67,99,75,90
TP_AA (Fold  8),118,110,109,115,117,107,102,107,110,105
TN_C (Fold  8),201,177,178,172,180,179,196,177,206,180
FP_C (Fold  8),36,81,63,48,51,45,48,27,29,36
FN_C (Fold  8),60,45,55,56,63,51,43,51,62,74
TP_C (Fold  8),27,45,35,42,42,34,40,37,34,30
TN_AA (Fold  9),196,163,160,180,185,168,163,186,201,204
FP_AA (Fold  9),75,155,111,121,90,96,108,87,77,72
FN_AA (Fold  9),78,64,62,56,87,68,84,78,79,86
TP_AA (Fold  9),110,112,120,105,119,128,118,113,110,108
TN_C (Fold  9),179,134,167,161,178,202,174,181,181,213
FP_C (Fold  9),41,73,62,72,51,72,52,48,49,30
FN_C (Fold  9),78,46,65,49,62,46,47,53,56,54
TP_C (Fold  9),40,58,41,47,37,32,41,45,37,37
TN_AA (Fold 10),221,152,166,177,173,179,180,188,175,208
FP_AA (Fold 10),55,112,133,97,83,90,101,88,101,61
FN_AA (Fold 10),67,60,75,76,79,81,77,76,59,72
TP_AA (Fold 10),103,104,119,111,123,106,107,97,119,108
TN_C (Fold 10),215,175,158,177,195,192,199,204,183,203
FP_C (Fold 10),30,72,73,67,53,42,38,38,47,26
FN_C (Fold 10),65,40,59,53,59,66,63,64,62,79
TP_C (Fold 10),25,43,41,35,23,34,35,34,32,32
