,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
(Fold  1),0.6867924528301886,0.6425269645608629,0.6251944012441679,0.6240369799691834,0.6278755074424899,0.6721991701244814,0.6847682119205298,0.687012987012987,0.6862210095497954,0.680794701986755
(Fold  2),0.66167290886392,0.5980861244019139,0.6631419939577039,0.617737003058104,0.6746478873239437,0.6731843575418994,0.6445366528354081,0.6406649616368286,0.6802096985583224,0.6767810026385225
(Fold  3),0.6935687263556116,0.6172839506172839,0.6629746835443038,0.6317411402157165,0.6754874651810585,0.667578659370725,0.6558704453441295,0.681045751633987,0.6375488917861799,0.6557161629434954
(Fold  4),0.6894803548795945,0.5974643423137876,0.6847662141779789,0.6458966565349544,0.6510989010989011,0.6309192200557103,0.7013888888888888,0.6618421052631579,0.6828947368421052,0.6649145860709592
(Fold  5),0.6818181818181818,0.6320610687022901,0.6408227848101266,0.6353677621283255,0.6671309192200557,0.6440443213296398,0.6583333333333333,0.6521739130434783,0.6836601307189543,0.6619354838709678
(Fold  6),0.6713375796178344,0.5954887218045113,0.6122448979591837,0.6376582278481012,0.6634615384615384,0.6478679504814305,0.6704067321178121,0.6735483870967742,0.6640522875816993,0.6317135549872123
(Fold  7),0.6814720812182741,0.5928792569659442,0.6391912908242613,0.6338028169014085,0.6458885941644562,0.6790633608815427,0.6620305980528511,0.6527027027027027,0.6555407209612817,0.649932157394844
(Fold  8),0.6729088639200999,0.6292307692307693,0.6376582278481012,0.6515625,0.6412742382271468,0.680161943319838,0.6643929058663028,0.636,0.6631716906946264,0.7
(Fold  9),0.6814268142681427,0.6346749226006192,0.6280864197530864,0.6573643410852713,0.6502808988764045,0.6680161943319838,0.6222222222222222,0.6732283464566929,0.6931818181818182,0.6644993498049415
(Fold 10),0.6717557251908397,0.6329113924050633,0.6468797564687976,0.6133540372670807,0.6684636118598383,0.6611570247933884,0.656121045392022,0.653997378768021,0.6618985695708712,0.6773778920308483
Average,0.6792233688962688,0.6172607513603046,0.644096067058771,0.6348521465008146,0.6565609561855833,0.662419220223064,0.6620071035973502,0.6612216533614629,0.6708379554445655,0.6663664891728546
