data_name,bias1,ml_name,method_name,Intercept,bias_type
titanic,-0.010823617121536,KNN,mean_v1,0.614171009326119,bias one
titanic,-0.002381565407352,KNN,mean_v2,0.597444858728226,bias one
titanic,-0.006906382797958,KNN,similar_v1,0.609031976755336,bias one
titanic,-0.003370022981039,KNN,similar_v2,0.583265765367882,bias one
titanic,0.025701801337185,KNN,multi_v1,0.559880206862921,bias one
titanic,0.018338575916386,KNN,multi_v2,0.554567849742083,bias one
titanic,-0.014638148892868,LinearSVC,mean_v1,0.650908509823655,bias one
titanic,-0.006766207308677,LinearSVC,mean_v2,0.605052416970181,bias one
titanic,-0.017449721163099,LinearSVC,similar_v1,0.653389702015748,bias one
titanic,-0.012054827430848,LinearSVC,similar_v2,0.613640418398313,bias one
titanic,0.000328768312002,LinearSVC,multi_v1,0.607559936241718,bias one
titanic,-0.00885869667699,LinearSVC,multi_v2,0.59392129371174,bias one
titanic,-0.013848136617635,SVC,mean_v1,0.664180329511552,bias one
titanic,-0.001281109461774,SVC,mean_v2,0.637289287567471,bias one
titanic,-0.010754377815659,SVC,similar_v1,0.656060358967143,bias one
titanic,-0.008629458932312,SVC,similar_v2,0.62624699187307,bias one
titanic,0.022203961154722,SVC,multi_v1,0.599858238199379,bias one
titanic,-0.002614699654969,SVC,multi_v2,0.600275132611848,bias one
titanic,-0.002587731624349,Forest,mean_v1,0.678501039221111,bias one
titanic,0.000777381652228,Forest,mean_v2,0.642936318441572,bias one
titanic,0.008349243171444,Forest,similar_v1,0.661454136188189,bias one
titanic,0.002028327726269,Forest,similar_v2,0.659189941468657,bias one
titanic,0.018456510684832,Forest,multi_v1,0.63168974611192,bias one
titanic,0.017431456793393,Forest,multi_v2,0.631010134733911,bias one
titanic,-0.019008908074774,LogReg,mean_v1,0.657961009516769,bias one
titanic,-0.008638609378361,LogReg,mean_v2,0.620372027904679,bias one
titanic,-0.017426605736059,LogReg,similar_v1,0.663982138490059,bias one
titanic,-0.013705767901786,LogReg,similar_v2,0.621670027174412,bias one
titanic,0.003483376157114,LogReg,multi_v1,0.611351206659219,bias one
titanic,-0.007758860632122,LogReg,multi_v2,0.59643963479003,bias one
titanic,-0.001351249481903,Tree,mean_v1,0.651186197522907,bias one
titanic,0.006022468782105,Tree,mean_v2,0.603076964595388,bias one
